SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1,MMR2 
131763,ALAMEDA,PUBLIC,31617,CALIF SCHOOL FOR THE,12,0,0,12,11
6110779,ALAMEDA,PUBLIC,61119,BAY FARM ELEM.,60,0,0,60,60
6100374,ALAMEDA,PUBLIC,61119,EARHART (AMELIA) ELEM,97,0,2,95,95
6090013,ALAMEDA,PUBLIC,61119,EDISON ELEM.,56,0,1,55,55
6090039,ALAMEDA,PUBLIC,61119,FRANKLIN ELEM.,40,0,1,39,39
6090047,ALAMEDA,PUBLIC,61119,HAIGHT ELEM.,81,0,0,81,75
6090005,ALAMEDA,PUBLIC,61119,LUM (DONALD D.) ELEM.,80,0,0,80,80
6090021,ALAMEDA,PUBLIC,61119,OTIS (FRANK) ELEM.,78,0,2,76,69
6090120,ALAMEDA,PUBLIC,61119,PADEN ELEM.,62,0,1,60,61
111765,ALAMEDA,PUBLIC,61119,RUBY BRIDGES ELEMENTA,100,0,3,97,95
6090104,ALAMEDA,PUBLIC,61119,WASHINGTON ELEM.,59,0,2,56,45
6090146,ALAMEDA,PUBLIC,61127,CORNELL ELEM.,83,0,2,81,68
6095376,ALAMEDA,PUBLIC,61127,MARIN ELEM.,82,2,3,77,73
6116222,ALAMEDA,PUBLIC,61127,OCEAN VIEW SCHOOL,105,0,0,103,89
6097729,ALAMEDA,PUBLIC,61143,BERKELEY ARTS MAGNET,60,0,4,56,52
6090195,ALAMEDA,PUBLIC,61143,CRAGMONT ELEM,77,0,2,75,75
6090211,ALAMEDA,PUBLIC,61143,EMERSON PRIMARY,56,0,2,52,51
6090252,ALAMEDA,PUBLIC,61143,JEFFERSON PRIMARY,59,0,5,54,47
6105316,ALAMEDA,PUBLIC,61143,JOHN MUIR ELEM.,39,0,0,30,30
6090278,ALAMEDA,PUBLIC,61143,LE CONTE ELEM.,57,0,4,49,50
6090286,ALAMEDA,PUBLIC,61143,MALCOLM X,90,0,3,77,70
6090302,ALAMEDA,PUBLIC,61143,OXFORD PRIMARY,40,0,3,36,36
6090187,ALAMEDA,PUBLIC,61143,ROSA PARKS ELEMENTARY,77,0,3,72,70
6090310,ALAMEDA,PUBLIC,61143,THOUSAND OAKS PRIMARY,79,0,3,73,66
6090328,ALAMEDA,PUBLIC,61143,WASHINGTON PRIMARY,60,0,1,59,42
6090351,ALAMEDA,PUBLIC,61150,CASTRO VALLEY ELEM,74,0,0,74,56
6090369,ALAMEDA,PUBLIC,61150,CHABOT ELEM,71,0,0,70,56
6090393,ALAMEDA,PUBLIC,61150,INDEPENDENT ELEM,98,0,0,97,91
6113005,ALAMEDA,PUBLIC,61150,JENSEN RANCH ELEM,56,0,0,56,47
6090401,ALAMEDA,PUBLIC,61150,MARSHALL ELEM,60,0,0,58,43
6090419,ALAMEDA,PUBLIC,61150,PALAMARES ELEM,19,0,1,14,17
6090435,ALAMEDA,PUBLIC,61150,PROCTOR ELEM,79,0,0,76,71
6090468,ALAMEDA,PUBLIC,61150,STANTON ELEM,74,0,0,74,70
6090484,ALAMEDA,PUBLIC,61150,VANNOY ELEM,62,0,0,62,57
6104723,ALAMEDA,PUBLIC,61176,ARDENWOOD ELEM,119,1,1,117,96
6000681,ALAMEDA,PUBLIC,61176,AZEVEDA (JOSEPH) ELEM,65,0,2,63,63
6000541,ALAMEDA,PUBLIC,61176,BLACOW ELEM,78,0,2,76,74
6000558,ALAMEDA,PUBLIC,61176,BRIER ELEM,100,0,0,99,98
6089320,ALAMEDA,PUBLIC,61176,BROOKVALE ELEM,64,0,0,64,63
6000566,ALAMEDA,PUBLIC,61176,CABRILLO ELEM,60,0,0,60,59
6090526,ALAMEDA,PUBLIC,61176,CHADBOURNE (JOSHUA) E,80,0,1,79,79
6000665,ALAMEDA,PUBLIC,61176,DURHAM (J HALEY) ELEM,69,0,0,68,58
6111330,ALAMEDA,PUBLIC,61176,FOREST PARK ELEM,120,0,0,120,120
6000624,ALAMEDA,PUBLIC,61176,GLENMOOR ELEM,80,0,0,80,74
6066468,ALAMEDA,PUBLIC,61176,GOMES (JOHN M) ELEM,120,0,1,119,119
6000640,ALAMEDA,PUBLIC,61176,GREEN (HARVEY) ELEM,59,0,0,59,56
6000590,ALAMEDA,PUBLIC,61176,GRIMMER (E.M) ELEM,66,0,0,66,64
6000764,ALAMEDA,PUBLIC,61176,HIRSCH (O.N) ELEM,66,0,1,65,56
6000673,ALAMEDA,PUBLIC,61176,LEITCH (JAMES) ELEM,209,0,1,208,200
6000715,ALAMEDA,PUBLIC,61176,MALONEY ELEM,80,0,1,79,76
6000723,ALAMEDA,PUBLIC,61176,MATTOS ELEM,71,0,0,71,67
6090559,ALAMEDA,PUBLIC,61176,MILLARD (STEVEN) ELEM,90,0,2,88,86
6090534,ALAMEDA,PUBLIC,61176,MISSION SAN JOSE ELEM,80,0,0,80,79
6000749,ALAMEDA,PUBLIC,61176,MISSION VALLEY,80,0,0,80,79
6000756,ALAMEDA,PUBLIC,61176,NILES ELEM,60,0,1,59,59
6090542,ALAMEDA,PUBLIC,61176,OLIVEIRA ELEM,100,0,0,100,98
6000798,ALAMEDA,PUBLIC,61176,PARKMONT ELEM,120,0,0,120,117
6000806,ALAMEDA,PUBLIC,61176,PATTERSON ELEM,95,0,0,94,83
6000830,ALAMEDA,PUBLIC,61176,VALLEJO MILL,98,0,1,97,92
6089619,ALAMEDA,PUBLIC,61176,WARWICK ELEM,115,0,2,113,113
6106983,ALAMEDA,PUBLIC,61176,WEIBEL ELEM,99,0,0,99,99
6000889,ALAMEDA,PUBLIC,61192,BOWMAN ELEM.,87,0,0,84,81
6000905,ALAMEDA,PUBLIC,61192,BURBANK ELEM.,110,0,1,108,108
6000913,ALAMEDA,PUBLIC,61192,CHERRYLAND ELEM.,95,0,0,95,91
6000921,ALAMEDA,PUBLIC,61192,EAST AVE. ELEM.,77,0,0,77,74
6001051,ALAMEDA,PUBLIC,61192,EDEN (LORIN A.) ELEM.,83,0,0,83,78
6090583,ALAMEDA,PUBLIC,61192,EDEN GARDENS ELEM.,73,0,0,71,69
6000962,ALAMEDA,PUBLIC,61192,FAIRVIEW ELEM.,68,0,0,68,61
6113815,ALAMEDA,PUBLIC,61192,FAITH RINGGOLD ELEM.,27,0,1,26,24
6000988,ALAMEDA,PUBLIC,61192,GLASSBROOK ELEM.,99,0,0,99,90
6000996,ALAMEDA,PUBLIC,61192,HARDER ELEM.,73,0,0,73,73
6001044,ALAMEDA,PUBLIC,61192,LONGWOOD ELEM.,95,0,0,92,83
6001093,ALAMEDA,PUBLIC,61192,PALMA CEIA ELEM.,98,0,0,96,94
6001101,ALAMEDA,PUBLIC,61192,PARK ELEM.,102,0,0,102,96
6001127,ALAMEDA,PUBLIC,61192,RUUS ELEM.,96,0,0,96,92
6001135,ALAMEDA,PUBLIC,61192,SCHAFER PARK ELEM.,70,0,0,70,70
6001176,ALAMEDA,PUBLIC,61192,SOUTHGATE ELEM.,76,0,0,75,74
111815,ALAMEDA,PUBLIC,61192,STONEBRAE ELEMENTARY,124,0,0,123,119
6062160,ALAMEDA,PUBLIC,61192,STROBRIDGE ELEM.,80,0,0,80,74
6001192,ALAMEDA,PUBLIC,61192,TREEVIEW ELEM.,106,0,0,105,104
6104566,ALAMEDA,PUBLIC,61192,TYRRELL ELEMENTARY,78,0,0,77,75
6117543,ALAMEDA,PUBLIC,61200,ALTAMONT CREEK ELEM.,98,0,0,98,98
6071906,ALAMEDA,PUBLIC,61200,ARROYO SECO ELEM.,120,0,0,120,120
6001283,ALAMEDA,PUBLIC,61200,JACKSON AVE. ELEM.,118,0,0,117,117
6110332,ALAMEDA,PUBLIC,61200,LEO CROCE ELEM.,100,0,1,99,99
6001317,ALAMEDA,PUBLIC,61200,MARYLIN AVE. ELEM.,99,0,0,99,99
6001291,ALAMEDA,PUBLIC,61200,MITCHELL (JOE) ELEM.,64,0,1,59,61
6001234,ALAMEDA,PUBLIC,61200,PORTOLA (DON GASPAR D,62,0,0,62,61
6089338,ALAMEDA,PUBLIC,61200,RANCHO LAS POSITAS EL,80,0,1,78,79
6001259,ALAMEDA,PUBLIC,61200,SMITH (EMMA C.) ELEM.,114,0,0,114,110
6097661,ALAMEDA,PUBLIC,61200,SUNSET ELEM.,115,0,4,111,108
6001499,ALAMEDA,PUBLIC,61234,BUNKER (JAMES L.) ELE,86,1,0,85,85
6001481,ALAMEDA,PUBLIC,61234,GRAHAM (JAMES A.) ELE,89,1,0,88,87
6001507,ALAMEDA,PUBLIC,61234,KENNEDY (JOHN F.) ELE,79,0,0,79,79
6001523,ALAMEDA,PUBLIC,61234,LINCOLN ELEM.,53,0,0,53,53
6001531,ALAMEDA,PUBLIC,61234,MILANI (LOUIS) ELEM.,56,0,0,56,55
6001457,ALAMEDA,PUBLIC,61234,MUSICK (E. L.) ELEM.,60,0,0,60,60
6001440,ALAMEDA,PUBLIC,61234,SCHILLING (AUGUST) EL,77,0,0,77,75
6001473,ALAMEDA,PUBLIC,61234,SNOW (H. A.) ELEM.,60,0,0,60,58
6001630,ALAMEDA,PUBLIC,61259,ALLENDALE ELEM.,89,0,0,87,86
6118608,ALAMEDA,PUBLIC,61259,ASCEND,40,0,0,40,40
6001655,ALAMEDA,PUBLIC,61259,BELLA VISTA ELEM.,84,0,0,79,82
109819,ALAMEDA,PUBLIC,61259,BERKELEY MAYNARD ACAD,59,0,0,59,59
6001663,ALAMEDA,PUBLIC,61259,BROOKFIELD VILLAGE EL,66,0,0,62,60
6001689,ALAMEDA,PUBLIC,61259,BURCKHALTER ELEM.,30,0,0,30,24
6001648,ALAMEDA,PUBLIC,61259,CHABOT ELEM.,79,0,0,75,68
6001739,ALAMEDA,PUBLIC,61259,CLEVELAND ELEM.,65,0,0,65,62
115204,ALAMEDA,PUBLIC,61259,COMMUNITY UNITED ELEM,65,0,0,64,62
6001754,ALAMEDA,PUBLIC,61259,CROCKER HIGHLANDS ELE,65,0,1,61,61
130518,ALAMEDA,PUBLIC,61259,EAST BAY CONSERVATION,39,0,8,31,24
115600,ALAMEDA,PUBLIC,61259,EAST OAKLAND PRIDE EL,86,0,0,86,86
6001812,ALAMEDA,PUBLIC,61259,EMERSON ELEM.,44,0,5,37,37
