SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1 ,MMR2
109835,ALAMEDA,PUBLIC,10017,FAME PUBLIC CHARTER,144,0,30,114,100
6110779,ALAMEDA,PUBLIC,61119,BAY FARM ELEM.,79,0,0,79,79
6100374,ALAMEDA,PUBLIC,61119,EARHART (AMELIA) ELEM,100,0,0,100,99
6090013,ALAMEDA,PUBLIC,61119,EDISON ELEM.,78,0,3,75,75
6090039,ALAMEDA,PUBLIC,61119,FRANKLIN ELEM.,60,0,0,60,60
6090047,ALAMEDA,PUBLIC,61119,HAIGHT ELEM.,59,1,1,57,57
6090005,ALAMEDA,PUBLIC,61119,LUM (DONALD D.) ELEM.,78,3,0,75,75
119222,ALAMEDA,PUBLIC,61119,NEA COMMUNITY LEARNIN,20,0,0,15,19
6090021,ALAMEDA,PUBLIC,61119,OTIS (FRANK) ELEM.,94,0,2,92,87
6090120,ALAMEDA,PUBLIC,61119,PADEN ELEM.,55,0,1,54,46
111765,ALAMEDA,PUBLIC,61119,RUBY BRIDGES ELEMENTA,100,0,0,99,90
6090104,ALAMEDA,PUBLIC,61119,WASHINGTON ELEM.,40,0,0,37,36
6090146,ALAMEDA,PUBLIC,61127,CORNELL ELEM.,95,3,3,89,83
6095376,ALAMEDA,PUBLIC,61127,MARIN ELEM.,95,0,5,89,85
6116222,ALAMEDA,PUBLIC,61127,OCEAN VIEW SCHOOL,97,0,2,88,79
6097729,ALAMEDA,PUBLIC,61143,BERKELEY ARTS MAGNET,60,0,4,56,45
6090195,ALAMEDA,PUBLIC,61143,CRAGMONT ELEM,79,0,9,69,65
6090211,ALAMEDA,PUBLIC,61143,EMERSON PRIMARY,42,0,3,37,35
6090252,ALAMEDA,PUBLIC,61143,JEFFERSON PRIMARY,42,0,1,41,36
6090278,ALAMEDA,PUBLIC,61143,LE CONTE ELEM.,58,0,1,55,51
6090286,ALAMEDA,PUBLIC,61143,MALCOLM X,76,0,1,65,65
6090302,ALAMEDA,PUBLIC,61143,OXFORD PRIMARY,57,0,3,54,50
6090187,ALAMEDA,PUBLIC,61143,ROSA PARKS ELEMENTARY,82,0,7,75,71
6090310,ALAMEDA,PUBLIC,61143,THOUSAND OAKS PRIMARY,97,1,5,88,77
6090328,ALAMEDA,PUBLIC,61143,WASHINGTON PRIMARY,80,0,0,73,73
6090351,ALAMEDA,PUBLIC,61150,CASTRO VALLEY ELEM.,73,0,0,72,69
6090369,ALAMEDA,PUBLIC,61150,CHABOT ELEM.,59,0,1,57,53
6090393,ALAMEDA,PUBLIC,61150,INDEPENDENT ELEM.,98,0,0,98,94
