SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6110779,ALAMEDA,PUBLIC,61119,BAY FARM ELEM.,69,0,0,69,69
6100374,ALAMEDA,PUBLIC,61119,EARHART (AMELIA) ELEM,98,0,2,96,96
6090013,ALAMEDA,PUBLIC,61119,EDISON ELEM.,74,2,0,72,70
6090039,ALAMEDA,PUBLIC,61119,FRANKLIN ELEM.,43,1,1,41,41
6090047,ALAMEDA,PUBLIC,61119,HAIGHT ELEM.,73,0,1,72,69
6090005,ALAMEDA,PUBLIC,61119,LUM (DONALD D.) ELEM.,74,0,1,73,73
6090021,ALAMEDA,PUBLIC,61119,OTIS (FRANK) ELEM.,75,0,1,74,74
6090120,ALAMEDA,PUBLIC,61119,PADEN ELEM.,54,0,1,50,50
111765,ALAMEDA,PUBLIC,61119,RUBY BRIDGES ELEMENTA,120,0,1,114,111
6090104,ALAMEDA,PUBLIC,61119,WASHINGTON ELEM.,50,0,1,49,49
6090146,ALAMEDA,PUBLIC,61127,CORNELL ELEM.,102,0,1,98,100
6095376,ALAMEDA,PUBLIC,61127,MARIN ELEM.,77,0,6,70,67
6116222,ALAMEDA,PUBLIC,61127,OCEAN VIEW SCHOOL,102,2,0,96,86
6097729,ALAMEDA,PUBLIC,61143,BERKELEY ARTS MAGNET,61,0,1,60,60
6090195,ALAMEDA,PUBLIC,61143,CRAGMONT ELEM,76,0,3,73,69
6090211,ALAMEDA,PUBLIC,61143,EMERSON PRIMARY,59,0,3,51,50
6090252,ALAMEDA,PUBLIC,61143,JEFFERSON PRIMARY,60,0,0,60,60
6105316,ALAMEDA,PUBLIC,61143,JOHN MUIR ELEM.,39,0,0,31,29
6090278,ALAMEDA,PUBLIC,61143,LE CONTE ELEM.,56,0,2,48,41
6090286,ALAMEDA,PUBLIC,61143,MALCOLM X,75,0,4,67,64
6090302,ALAMEDA,PUBLIC,61143,OXFORD PRIMARY,40,0,3,37,37
6090187,ALAMEDA,PUBLIC,61143,ROSA PARKS ELEMENTARY,63,0,2,58,55
6090310,ALAMEDA,PUBLIC,61143,THOUSAND OAKS PRIMARY,80,0,3,77,74
6090328,ALAMEDA,PUBLIC,61143,WASHINGTON ELEM.,61,0,3,54,47
6090351,ALAMEDA,PUBLIC,61150,CASTRO VALLEY ELEM.,71,0,1,70,68
6090369,ALAMEDA,PUBLIC,61150,CHABOT ELEM.,69,0,1,66,66
6090393,ALAMEDA,PUBLIC,61150,INDEPENDENT ELEM.,95,0,0,95,94
6113005,ALAMEDA,PUBLIC,61150,JENSEN RANCH ELEM.,69,0,0,67,67
6090401,ALAMEDA,PUBLIC,61150,MARSHALL ELEM.,63,0,0,63,59
6090419,ALAMEDA,PUBLIC,61150,PALOMARES ELEM.,23,0,0,23,23
6090435,ALAMEDA,PUBLIC,61150,PROCTOR ELEM.,77,0,0,77,77
6090468,ALAMEDA,PUBLIC,61150,STANTON ELEM.,71,0,0,71,71
6090484,ALAMEDA,PUBLIC,61150,VANNOY ELEM.,58,0,0,58,58
6090492,ALAMEDA,PUBLIC,61168,ANNA YATES ELEMENTARY,69,0,0,69,65
6104723,ALAMEDA,PUBLIC,61176,ARDENWOOD ELEM.,112,0,2,109,107
6000681,ALAMEDA,PUBLIC,61176,AZEVEDA (JOSEPH) ELEM,88,0,1,87,85
6000541,ALAMEDA,PUBLIC,61176,BLACOW ELEM.,98,0,0,98,96
6000558,ALAMEDA,PUBLIC,61176,BRIER ELEM.,102,0,0,102,102
6089320,ALAMEDA,PUBLIC,61176,BROOKVALE ELEM.,97,0,0,97,92
6000566,ALAMEDA,PUBLIC,61176,CABRILLO ELEM.,95,1,2,92,90
6090526,ALAMEDA,PUBLIC,61176,CHADBOURNE (JOSHUA) E,79,0,2,77,76
6000665,ALAMEDA,PUBLIC,61176,DURHAM (J. HALEY) ELE,53,0,2,51,50
6111330,ALAMEDA,PUBLIC,61176,FOREST PARK ELEM.,125,0,0,125,117
