SCHOOL CODE,COUNTY,PUB/ PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6110779,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,BAY FARM ELEM.,65,0,1,64,64
6100374,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,EARHART (AMELIA) ELEM.,102,0,0,102,102
6090013,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,EDISON ELEM.,74,0,4,70,61
6090039,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,FRANKLIN ELEM.,50,0,1,49,49
6090047,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,HAIGHT ELEM.,50,0,0,50,49
6090005,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,LUM (DONALD D.) ELEM.,74,0,0,74,71
119222,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,36,0,0,35,35
6090021,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,OTIS (FRANK) ELEM.,96,0,3,93,89
6090120,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,PADEN ELEM.,50,0,0,50,50
111765,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,100,0,1,96,89
6090104,ALAMEDA,PUBLIC,ALAMEDA CITY UNIFIED,ALAMEDA,WASHINGTON ELEM.,25,0,1,24,24
118489,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,BERKELEY,ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY,58,0,0,56,50
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,155,0,22,130,109
