SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
130419,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,HAYWARD,ALAMEDA COUNTY COMMUNITY, ,,,
109835,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,FAME PUBLIC CHARTER,109,0,14,95
123968,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COMMUNITY SCHOOL FOR CREATIVE EDUCATION, ,,,
6001788,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,COX ACADEMY,115,1,1,103
6002000,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,LAZEAR CHARTER ACADEMY,40,0,0,40
125567,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,URBAN MONTESSORI CHARTER, ,,,
124172,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,YU MING CHARTER,52,0,5,47
130401,ALAMEDA,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,SAN LEANDRO,ALAMEDA COUNTY JUVENILE HALL COURT, ,,,
6100374,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,AMELIA EARHART ELEMENTARY,128,0,2,125
6110779,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,BAY FARM,70,0,1,69
6090005,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,DONALD D. LUM ELEMENTARY,100,0,3,96
6090013,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,EDISON ELEMENTARY,70,0,1,69
6090021,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANK OTIS ELEMENTARY,95,1,1,93
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,50,0,1,49
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,98,0,1,95
126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN,73,0,7,66
119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,0,2,45
111765,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,91,0,0,91
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,73,0,0,73
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEMENTARY,84,0,13,61
